

admin@DESKTOP-CTAGE42 MSYS /d/AlBrowserDownloads/cryptopp600a
mingw64 mingw-w64-x86_64-liblastfm-qt4 1.0.9-1
mingw64 mingw-w64-x86_64-liblqr 0.4.2-4
mingw64 mingw-w64-x86_64-libmad 0.15.1b-4
mingw64 mingw-w64-x86_64-libmangle-git 6.0.0.5079.3b7a42fd-1
mingw64 mingw-w64-x86_64-libmariadbclient 2.3.5-2
mingw64 mingw-w64-x86_64-libmatroska 1.4.9-2
mingw64 mingw-w64-x86_64-libmaxminddb 1.3.2-1
mingw64 mingw-w64-x86_64-libmetalink 0.1.3-3
mingw64 mingw-w64-x86_64-libmfx 1.23-1
mingw64 mingw-w64-x86_64-libmicrodns 0.0.10-1
mingw64 mingw-w64-x86_64-libmicrohttpd 0.9.58-1
mingw64 mingw-w64-x86_64-libmicroutils 4.3.0-1
mingw64 mingw-w64-x86_64-libmikmod 3.3.11.1-1
mingw64 mingw-w64-x86_64-libmimic 1.0.4-3
mingw64 mingw-w64-x86_64-libmng 2.0.3-4
mingw64 mingw-w64-x86_64-libmodbus-git 658.0e2f470-1
mingw64 mingw-w64-x86_64-libmodplug 0.8.9.0-1
mingw64 mingw-w64-x86_64-libmongoose 6.4-1
mingw64 mingw-w64-x86_64-libmongoose-git r1793.41b405d-3
mingw64 mingw-w64-x86_64-libmowgli 2.1.3-1
mingw64 mingw-w64-x86_64-libmpcdec 1.2.6-3
mingw64 mingw-w64-x86_64-libmpeg2-git r1108.946bf4b-1
mingw64 mingw-w64-x86_64-libmypaint 1.3.0-4
mingw64 mingw-w64-x86_64-libmysofa 0.6-1
mingw64 mingw-w64-x86_64-libnfs 2.0.0-1
mingw64 mingw-w64-x86_64-libnice 0.1.14-1
mingw64 mingw-w64-x86_64-libnotify 0.7.6-2
mingw64 mingw-w64-x86_64-libnova 0.15.0-1
mingw64 mingw-w64-x86_64-libntlm 1.4-3
mingw64 mingw-w64-x86_64-liboauth 1.0.3-6
mingw64 mingw-w64-x86_64-libodfgen 0.1.6-2
mingw64 mingw-w64-x86_64-libogg 1.3.3-1
mingw64 mingw-w64-x86_64-libosmpbf-git 1.3.3.13.g4edb4f0-1
mingw64 mingw-w64-x86_64-libotr 4.1.1-2
mingw64 mingw-w64-x86_64-libpaper 1.1.24-2
mingw64 mingw-w64-x86_64-libpeas 1.22.0-2
mingw64 mingw-w64-x86_64-libplacebo 0.3.0-1
mingw64 mingw-w64-x86_64-libplist 2.0.0-1
mingw64 mingw-w64-x86_64-libpng 1.6.34-1
mingw64 mingw-w64-x86_64-libproxy 0.4.15-1
mingw64 mingw-w64-x86_64-libraqm 0.5.0-1
mingw64 mingw-w64-x86_64-libraw 0.18.9-1
mingw64 mingw-w64-x86_64-librescl 0.3.3-1
mingw64 mingw-w64-x86_64-libressl 2.6.4-1
mingw64 mingw-w64-x86_64-librest 0.8.1-1
mingw64 mingw-w64-x86_64-librevenge 0.0.4-2
mingw64 mingw-w64-x86_64-librsvg 2.40.20-1
mingw64 mingw-w64-x86_64-librsync 2.0.2-1
mingw64 mingw-w64-x86_64-libsamplerate 0.1.9-1
mingw64 mingw-w64-x86_64-libsass 3.5.4-1
mingw64 mingw-w64-x86_64-libsecret 0.18-5
mingw64 mingw-w64-x86_64-libshout 2.4.1-1
mingw64 mingw-w64-x86_64-libsigc++ 2.10.0-1
mingw64 mingw-w64-x86_64-libsignal-protocol-c-git r34.16bfd04-1
mingw64 mingw-w64-x86_64-libsigsegv 2.12-1
mingw64 mingw-w64-x86_64-libsndfile 1.0.28-1
mingw64 mingw-w64-x86_64-libsodium 1.0.16-1
mingw64 mingw-w64-x86_64-libsoup 2.62.2-1
mingw64 mingw-w64-x86_64-libsoxr 0.1.2-1
mingw64 mingw-w64-x86_64-libspatialite 4.3.0.a-3
mingw64 mingw-w64-x86_64-libspectre 0.2.8-1
mingw64 mingw-w64-x86_64-libspiro 1~0.5.20150702-2
mingw64 mingw-w64-x86_64-libsquish 1.15-1
mingw64 mingw-w64-x86_64-libsrtp 1.6.0-1
mingw64 mingw-w64-x86_64-libssh 0.7.5-1
mingw64 mingw-w64-x86_64-libssh2 1.8.0-1
mingw64 mingw-w64-x86_64-libswift 1.0.0-2
mingw64 mingw-w64-x86_64-libsystre 1.0.1-4
mingw64 mingw-w64-x86_64-libtasn1 4.13-1
mingw64 mingw-w64-x86_64-libtheora 1.1.1-4
mingw64 mingw-w64-x86_64-libtiff 4.0.9-1
mingw64 mingw-w64-x86_64-libtimidity 0.2.5-1
mingw64 mingw-w64-x86_64-libtommath 1.0.1-1
mingw64 mingw-w64-x86_64-libtool 2.4.6-11
mingw64 mingw-w64-x86_64-libtorrent-rasterbar 1.1.6-1
mingw64 mingw-w64-x86_64-libtre-git r128.6fb7206-2
mingw64 mingw-w64-x86_64-libunistring 0.9.9-2
mingw64 mingw-w64-x86_64-libunwind 5.0.1-3
mingw64 mingw-w64-x86_64-libusb 1.0.22-1
mingw64 mingw-w64-x86_64-libusb-compat-git r72.92deb38-1
mingw64 mingw-w64-x86_64-libusbmuxd 1.0.10-3
mingw64 mingw-w64-x86_64-libuv 1.20.3-1
mingw64 mingw-w64-x86_64-libview 0.6.6-4
mingw64 mingw-w64-x86_64-libvirt 3.7.0-1
mingw64 mingw-w64-x86_64-libvirt-glib 0.2.3-1
mingw64 mingw-w64-x86_64-libvisio 0.1.6-2
mingw64 mingw-w64-x86_64-libvmime-git r1128.8495ce1-1
mingw64 mingw-w64-x86_64-libvoikko 4.1.1-1
mingw64 mingw-w64-x86_64-libvorbis 1.3.6-1
mingw64 mingw-w64-x86_64-libvorbisidec-svn r19643-1
mingw64 mingw-w64-x86_64-libvpx 1.7.0-1
mingw64 mingw-w64-x86_64-libwebp 1.0.0-1
mingw64 mingw-w64-x86_64-libwebsockets 2.1.0-2
mingw64 mingw-w64-x86_64-libwinpthread-git 6.0.0.5134.2416de71-1
mingw64 mingw-w64-x86_64-libwmf 0.2.8.4-4
mingw64 mingw-w64-x86_64-libwpd 0.10.2-1
mingw64 mingw-w64-x86_64-libwpg 0.3.2-1
mingw64 mingw-w64-x86_64-libxlsxwriter 0.7.5-1
mingw64 mingw-w64-x86_64-libxml++ 3.0.0-2
mingw64 mingw-w64-x86_64-libxml++2.6 2.40.0-2
mingw64 mingw-w64-x86_64-libxml2 2.9.8-1
mingw64 mingw-w64-x86_64-libxslt 1.1.32-1
mingw64 mingw-w64-x86_64-libyaml 0.1.7-1
mingw64 mingw-w64-x86_64-libzip 1.5.1-1
mingw64 mingw-w64-x86_64-live-media 2018.04.25-1
mingw64 mingw-w64-x86_64-lld 5.0.1-3
mingw64 mingw-w64-x86_64-lldb 5.0.1-3
mingw64 mingw-w64-x86_64-llvm 5.0.1-3
mingw64 mingw-w64-x86_64-llvm35 3.5.2-1
mingw64 mingw-w64-x86_64-lmdb 0.9.22-1
mingw64 mingw-w64-x86_64-lmdbxx 0.9.14.0-1
mingw64 mingw-w64-x86_64-lua 5.3.4-1
mingw64 mingw-w64-x86_64-lua-lpeg 0.12-2
mingw64 mingw-w64-x86_64-lua-mpack 1.0.4-1
mingw64 mingw-w64-x86_64-lua51 5.1.5-4
mingw64 mingw-w64-x86_64-lua51-bitop 1.0.2-1
mingw64 mingw-w64-x86_64-lua51-lgi 0.9.2-1
mingw64 mingw-w64-x86_64-lua51-lpeg 0.12-2
mingw64 mingw-w64-x86_64-lua51-lsqlite3 0.9.3-1
mingw64 mingw-w64-x86_64-lua51-luarocks 2.4.1-1
mingw64 mingw-w64-x86_64-lua51-mpack 1.0.4-1
mingw64 mingw-w64-x86_64-luabind-git 0.9.1.144.ge414c57-1
mingw64 mingw-w64-x86_64-luajit-git 2.0.4.49.ga68c411-1
mingw64 mingw-w64-x86_64-lz4 1.8.2-1
mingw64 mingw-w64-x86_64-lzo2 2.10-1
mingw64 mingw-w64-x86_64-make 4.2.1-2
mingw64 mingw-w64-x86_64-mathgl 2.3.5.1-1
mingw64 mingw-w64-x86_64-matio 1.5.10-1
mingw64 mingw-w64-x86_64-mbedtls 2.9.0-1
mingw64 mingw-w64-x86_64-mcpp 2.7.2-2
mingw64 mingw-w64-x86_64-meanwhile 1.0.2-4
mingw64 mingw-w64-x86_64-meld3 3.19.0-2
mingw64 mingw-w64-x86_64-memphis 0.2.3-4
mingw64 mingw-w64-x86_64-mesa 18.0.2-1
mingw64 mingw-w64-x86_64-meson 0.46.1-1
mingw64 mingw-w64-x86_64-metis 5.1.0-2
mingw64 mingw-w64-x86_64-mhook r7.a159eed-1
mingw64 mingw-w64-x86_64-minisign 0.8-1
mingw64 mingw-w64-x86_64-miniupnpc 2.1-1
mingw64 mingw-w64-x86_64-mlpack 1.0.12-2
mingw64 mingw-w64-x86_64-mono 5.10.1.47-1
mingw64 mingw-w64-x86_64-mono-basic 4.6-1
mingw64 mingw-w64-x86_64-mpc 1.1.0-1
mingw64 mingw-w64-x86_64-mpdecimal 2.4.2-1
mingw64 mingw-w64-x86_64-mpfr 4.0.1-1
mingw64 mingw-w64-x86_64-mpg123 1.25.10-1
mingw64 mingw-w64-x86_64-mpv 0.28.2-3
mingw64 mingw-w64-x86_64-mruby 1.4.0-1
mingw64 mingw-w64-x86_64-mscgen 0.20-1
mingw64 mingw-w64-x86_64-msgpack-c 2.0.0-1
mingw64 mingw-w64-x86_64-msmtp 1.6.2-1
mingw64 mingw-w64-x86_64-mtex2MML 1.3.1-1
mingw64 mingw-w64-x86_64-muparser 2.2.5-2
mingw64 mingw-w64-x86_64-mypaint 1.2.1-1
mingw64 mingw-w64-x86_64-mypaint-brushes 1.3.0-1
mingw64 mingw-w64-x86_64-nanodbc 2.12.4-2
mingw64 mingw-w64-x86_64-nanovg-git r259.6ae0873-1
mingw64 mingw-w64-x86_64-nasm 2.13.03-1
mingw64 mingw-w64-x86_64-ncurses 6.1.20180407-1
mingw64 mingw-w64-x86_64-netcdf 4.6.1-1
mingw64 mingw-w64-x86_64-nettle 3.4-1
mingw64 mingw-w64-x86_64-nghttp2 1.31.1-1
mingw64 mingw-w64-x86_64-ngraph-gtk 6.07.06-1
mingw64 mingw-w64-x86_64-ngspice 27-1
mingw64 mingw-w64-x86_64-nim 0.17.2-1
mingw64 mingw-w64-x86_64-ninja 1.8.2-1
mingw64 mingw-w64-x86_64-nlopt 2.4.2-3
mingw64 mingw-w64-x86_64-nodejs 8.11.1-1
mingw64 mingw-w64-x86_64-npth 1.5-1
mingw64 mingw-w64-x86_64-nsis 3.01-1
mingw64 mingw-w64-x86_64-nsis-nsisunz 1.0-1
mingw64 mingw-w64-x86_64-nspr 4.19-1
mingw64 mingw-w64-x86_64-nss 3.36.1-1
mingw64 mingw-w64-x86_64-ntldd-git r15.e7622f6-2
mingw64 mingw-w64-x86_64-ocaml 4.04.0-1
mingw64 mingw-w64-x86_64-ocaml-camlp4 4.02.1-5
mingw64 mingw-w64-x86_64-ocaml-findlib 1.7.1-1
mingw64 mingw-w64-x86_64-oce 0.17.2-5
mingw64 mingw-w64-x86_64-octopi-git r941.6df0f8a-1
mingw64 mingw-w64-x86_64-odt2txt 0.5-2
mingw64 mingw-w64-x86_64-ogre3d-hg 2.1.0.r10230.62834e3ac215-1
mingw64 mingw-w64-x86_64-ois-git 1.4.0.50.6129c0a-1
mingw64 mingw-w64-x86_64-oniguruma 6.8.2-1
mingw64 mingw-w64-x86_64-openal 1.18.2-1
mingw64 mingw-w64-x86_64-openblas 0.2.20-2
mingw64 mingw-w64-x86_64-opencl-headers 2~2.1.20161129-3
mingw64 mingw-w64-x86_64-opencollada-git r1687.d826fd08-1
mingw64 mingw-w64-x86_64-opencolorio-git 807.7fece5e-1
mingw64 mingw-w64-x86_64-opencore-amr 0.1.5-1
mingw64 mingw-w64-x86_64-opencsg 1.4.0-2
mingw64 mingw-w64-x86_64-opencv 3.4.1-2
mingw64 mingw-w64-x86_64-openexr 2.2.1-1
mingw64 mingw-w64-x86_64-openh264 1.7.0-1
mingw64 mingw-w64-x86_64-openimageio 1.8.11-1
mingw64 mingw-w64-x86_64-openjpeg 1.5.2-7
mingw64 mingw-w64-x86_64-openjpeg2 2.3.0-1
mingw64 mingw-w64-x86_64-openldap 2.4.45-1
mingw64 mingw-w64-x86_64-openocd 0.10.0-1
mingw64 mingw-w64-x86_64-openocd-git 0.9.0.r2.g79fdeb3-1
mingw64 mingw-w64-x86_64-openscad 2015.03-2
mingw64 mingw-w64-x86_64-openshadinglanguage 1.8.14-1
mingw64 mingw-w64-x86_64-openssl 1.0.2.o-1
mingw64 mingw-w64-x86_64-openvr 1.0.15-1
mingw64 mingw-w64-x86_64-optipng 0.7.7-1
mingw64 mingw-w64-x86_64-opus 1.2.1-1
mingw64 mingw-w64-x86_64-opus-tools 0.1.9-2
mingw64 mingw-w64-x86_64-opusfile 0.9-1
mingw64 mingw-w64-x86_64-orc 0.4.28-1
mingw64 mingw-w64-x86_64-osgQt 3.5.7-2
mingw64 mingw-w64-x86_64-osgQt-debug 3.5.7-2
mingw64 mingw-w64-x86_64-osgQtQuick 2.0.0.8-1
mingw64 mingw-w64-x86_64-osgQtQuick-debug 2.0.0.8-1
mingw64 mingw-w64-x86_64-osgbullet-debug-git 3.0.0.265-1
mingw64 mingw-w64-x86_64-osgbullet-git 3.0.0.265-1
mingw64 mingw-w64-x86_64-osgearth 2.9-2
mingw64 mingw-w64-x86_64-osgearth-debug 2.9-2
mingw64 mingw-w64-x86_64-osgocean-debug-git 1.0.1.r147-2
mingw64 mingw-w64-x86_64-osgocean-git 1.0.1.r147-2
mingw64 mingw-w64-x86_64-osgworks-debug-git 3.1.0.444-1
mingw64 mingw-w64-x86_64-osgworks-git 3.1.0.444-1
mingw64 mingw-w64-x86_64-osl 0.9.2-1
mingw64 mingw-w64-x86_64-osm-gps-map 1.1.0-1
mingw64 mingw-w64-x86_64-osmgpsmap-git r443.c24d08d-1
mingw64 mingw-w64-x86_64-osslsigncode 1.7.1-3
mingw64 mingw-w64-x86_64-p11-kit 0.23.12-1
mingw64 mingw-w64-x86_64-paho.mqtt.c 1.1.0-1
mingw64 mingw-w64-x86_64-pango 1.42.1-2
mingw64 mingw-w64-x86_64-pangomm 2.40.0-2
mingw64 mingw-w64-x86_64-pcre 8.42-1
mingw64 mingw-w64-x86_64-pcre2 10.31-1
mingw64 mingw-w64-x86_64-pdcurses 3.6-2
mingw64 mingw-w64-x86_64-pdf2djvu 0.9.9-1
mingw64 mingw-w64-x86_64-pdf2svg 0.2.3-3
mingw64 mingw-w64-x86_64-perl 5.22.0-1
mingw64 mingw-w64-x86_64-phodav 2.2-1
mingw64 mingw-w64-x86_64-physfs 3.0.1-1
mingw64 mingw-w64-x86_64-pidgin++ 15.1-2
mingw64 mingw-w64-x86_64-pidgin-hg r37207.e666f49a3e86-1
mingw64 mingw-w64-x86_64-pinentry 1.1.0-1
mingw64 mingw-w64-x86_64-pixman 0.34.0-3
mingw64 mingw-w64-x86_64-pkg-config 0.29.2-1
mingw64 mingw-w64-x86_64-plplot 5.13.0-2
mingw64 mingw-w64-x86_64-png2ico 2002.12.08-2
mingw64 mingw-w64-x86_64-pngcrush 1.8.13-1
mingw64 mingw-w64-x86_64-pngnq 1.1-2
mingw64 mingw-w64-x86_64-poco 1.8.1-1
mingw64 mingw-w64-x86_64-podofo 0.9.5-1
mingw64 mingw-w64-x86_64-polipo 1.1.1-1
mingw64 mingw-w64-x86_64-polly 5.0.1-3
mingw64 mingw-w64-x86_64-poppler 0.64.0-1
mingw64 mingw-w64-x86_64-poppler-data 0.4.9-1
mingw64 mingw-w64-x86_64-poppler-qt4 0.36.0-1
mingw64 mingw-w64-x86_64-popt 1.16-1
mingw64 mingw-w64-x86_64-port-scanner 1.3-2
mingw64 mingw-w64-x86_64-portablexdr 4.9.2.r27.94fb83c-2
mingw64 mingw-w64-x86_64-portaudio 190600_20161030-3
mingw64 mingw-w64-x86_64-portmidi 217-2
mingw64 mingw-w64-x86_64-postgis 2.4.4-1
mingw64 mingw-w64-x86_64-postgresql 10.4-1
mingw64 mingw-w64-x86_64-postr 0.13.1-1
mingw64 mingw-w64-x86_64-potrace 1.15-2
mingw64 mingw-w64-x86_64-premake 4.3-2
mingw64 mingw-w64-x86_64-proj 5.0.1-1
mingw64 mingw-w64-x86_64-protobuf 3.5.2-1
mingw64 mingw-w64-x86_64-protobuf-c 1.3.0-1
mingw64 mingw-w64-x86_64-ptex 2.1.28-1
mingw64 mingw-w64-x86_64-pugixml 1.9-1
mingw64 mingw-w64-x86_64-pupnp 1.6.25-1
mingw64 mingw-w64-x86_64-purple-facebook 20160907.66ee773.bf8ed95-1
mingw64 mingw-w64-x86_64-purple-hangouts-hg r287+.574c112aa35c+-1
mingw64 mingw-w64-x86_64-purple-skypeweb 1.1-1
mingw64 mingw-w64-x86_64-putty 0.70-1
mingw64 mingw-w64-x86_64-putty-ssh 0.0-3
mingw64 mingw-w64-x86_64-putty-svn 0.63.r10297-4
mingw64 mingw-w64-x86_64-pygobject-devel 3.28.2-1
mingw64 mingw-w64-x86_64-pygobject2-devel 2.28.6-6
mingw64 mingw-w64-x86_64-pyqt4-common 4.11.4-2
mingw64 mingw-w64-x86_64-pyqt5-common 5.10.1-1
mingw64 mingw-w64-x86_64-pyrex 0.9.9-1
mingw64 mingw-w64-x86_64-pyside-common-qt4 1.2.2-3
mingw64 mingw-w64-x86_64-pyside-tools-common-qt4 1.2.2-3
mingw64 mingw-w64-x86_64-python-lxml-docs 4.1.0-1
mingw64 mingw-w64-x86_64-python-qscintilla-common 2.10.4-1
mingw64 mingw-w64-x86_64-python2 2.7.15-1
mingw64 mingw-w64-x86_64-python2-appdirs 1.4.3-2
mingw64 mingw-w64-x86_64-python2-asn1crypto 0.24.0-1
mingw64 mingw-w64-x86_64-python2-attrs 18.1.0-1
mingw64 mingw-w64-x86_64-python2-babel 2.5.3-2
mingw64 mingw-w64-x86_64-python2-backcall 0.1.0-1
mingw64 mingw-w64-x86_64-python2-backports 1.0-1
mingw64 mingw-w64-x86_64-python2-backports.shutil_get_terminal_size 1.0.0-1
mingw64 mingw-w64-x86_64-python2-beaker 1.9.1-1
mingw64 mingw-w64-x86_64-python2-beautifulsoup3 3.2.1-2
mingw64 mingw-w64-x86_64-python2-beautifulsoup4 4.6.0-1
mingw64 mingw-w64-x86_64-python2-bleach 2.1.3-1
mingw64 mingw-w64-x86_64-python2-brotli 1.0.4-1
mingw64 mingw-w64-x86_64-python2-bsddb3 6.1.0-3
mingw64 mingw-w64-x86_64-python2-cairo 1.17.0-1
mingw64 mingw-w64-x86_64-python2-certifi 2018.4.16-1
mingw64 mingw-w64-x86_64-python2-cffi 1.11.5-1
mingw64 mingw-w64-x86_64-python2-characteristic 14.3.0-2
mingw64 mingw-w64-x86_64-python2-chardet 3.0.4-1
mingw64 mingw-w64-x86_64-python2-cjson 1.2.1-1
mingw64 mingw-w64-x86_64-python2-colorama 0.3.9-2
mingw64 mingw-w64-x86_64-python2-colorspacious 1.1.0-1
mingw64 mingw-w64-x86_64-python2-coverage 4.5.1-1
mingw64 mingw-w64-x86_64-python2-crcmod 1.7-1
mingw64 mingw-w64-x86_64-python2-cryptography 2.2.2-1
mingw64 mingw-w64-x86_64-python2-cssselect 1.0.1-1
mingw64 mingw-w64-x86_64-python2-cvxopt 1.1.9-2
mingw64 mingw-w64-x86_64-python2-cx_Freeze 5.1.1-1
mingw64 mingw-w64-x86_64-python2-cycler 0.10.0-2
mingw64 mingw-w64-x86_64-python2-dateutil 2.7.3-1
mingw64 mingw-w64-x86_64-python2-decorator 4.3.0-1
mingw64 mingw-w64-x86_64-python2-distutils-extra 2.39-3
mingw64 mingw-w64-x86_64-python2-docutils 0.14-2
mingw64 mingw-w64-x86_64-python2-enum 0.4.6-1
mingw64 mingw-w64-x86_64-python2-enum34 1.1.6-1
mingw64 mingw-w64-x86_64-python2-et-xmlfile 1.0.1-2
mingw64 mingw-w64-x86_64-python2-funcsigs 1.0.2-1
mingw64 mingw-w64-x86_64-python2-genty 1.3.2-1
mingw64 mingw-w64-x86_64-python2-gobject 3.28.2-1
mingw64 mingw-w64-x86_64-python2-gobject2 2.28.6-6
mingw64 mingw-w64-x86_64-python2-greenlet 0.4.13-1
mingw64 mingw-w64-x86_64-python2-h5py 2.7.0-1
mingw64 mingw-w64-x86_64-python2-html5lib 1.0.1-1
mingw64 mingw-w64-x86_64-python2-httplib2 0.10.3-1
mingw64 mingw-w64-x86_64-python2-icu 2.0.3-1
mingw64 mingw-w64-x86_64-python2-idna 2.6-1
mingw64 mingw-w64-x86_64-python2-imagesize 1.0.0-1
mingw64 mingw-w64-x86_64-python2-ipaddress 1.0.18-1
mingw64 mingw-w64-x86_64-python2-ipykernel 4.6.1-1
mingw64 mingw-w64-x86_64-python2-ipython 5.3.0-6
mingw64 mingw-w64-x86_64-python2-ipython_genutils 0.2.0-1
mingw64 mingw-w64-x86_64-python2-ipywidgets 7.2.1-1
mingw64 mingw-w64-x86_64-python2-jdcal 1.2-2
mingw64 mingw-w64-x86_64-python2-jinja 2.10-1
mingw64 mingw-w64-x86_64-python2-json-rpc 1.11.0-1
mingw64 mingw-w64-x86_64-python2-jsonschema 2.6.0-2
mingw64 mingw-w64-x86_64-python2-jupyter_client 5.2.3-1
mingw64 mingw-w64-x86_64-python2-jupyter_console 5.2.0-1
mingw64 mingw-w64-x86_64-python2-jupyter_core 4.4.0-1
mingw64 mingw-w64-x86_64-python2-kiwisolver 1.0.1-1
mingw64 mingw-w64-x86_64-python2-lhafile 0.2.1-2
mingw64 mingw-w64-x86_64-python2-lxml 4.1.0-1
mingw64 mingw-w64-x86_64-python2-mako 1.0.7-2
mingw64 mingw-w64-x86_64-python2-markupsafe 1.0-2
mingw64 mingw-w64-x86_64-python2-matplotlib 2.2.2-1
mingw64 mingw-w64-x86_64-python2-mistune 0.8.3-1
mingw64 mingw-w64-x86_64-python2-mock 2.0.0-2
mingw64 mingw-w64-x86_64-python2-more-itertools 4.2.0-1
mingw64 mingw-w64-x86_64-python2-ndg-httpsclient 0.4.4-1
mingw64 mingw-w64-x86_64-python2-networkx 1.11-2
mingw64 mingw-w64-x86_64-python2-nose 1.3.7-6
mingw64 mingw-w64-x86_64-python2-nuitka 0.5.26-1
mingw64 mingw-w64-x86_64-python2-numexpr 2.6.5-1
mingw64 mingw-w64-x86_64-python2-numpy 1.14.3-1
mingw64 mingw-w64-x86_64-python2-olefile 0.44-1
mingw64 mingw-w64-x86_64-python2-openmdao 1.7.3-1
mingw64 mingw-w64-x86_64-python2-openpyxl 2.5.0a1-1
mingw64 mingw-w64-x86_64-python2-packaging 16.8-3
mingw64 mingw-w64-x86_64-python2-pandas 0.23.0-1
mingw64 mingw-w64-x86_64-python2-pandocfilters 1.4.2-1
mingw64 mingw-w64-x86_64-python2-path 10.3.1-1
mingw64 mingw-w64-x86_64-python2-pathlib2 2.3.0-2
mingw64 mingw-w64-x86_64-python2-patsy 0.4.1-2
mingw64 mingw-w64-x86_64-python2-pbr 4.0.3-1
mingw64 mingw-w64-x86_64-python2-pdfrw 0.3-1
mingw64 mingw-w64-x86_64-python2-pgen2 0.1.0-2
mingw64 mingw-w64-x86_64-python2-pickleshare 0.7.4-2
mingw64 mingw-w64-x86_64-python2-pillow 5.0.0-1
mingw64 mingw-w64-x86_64-python2-pip 10.0.1-1
mingw64 mingw-w64-x86_64-python2-pluggy 0.6.0-1
mingw64 mingw-w64-x86_64-python2-ply 3.11-1
mingw64 mingw-w64-x86_64-python2-pptx 0.6.5-1
mingw64 mingw-w64-x86_64-python2-pretend 1.0.8-2
mingw64 mingw-w64-x86_64-python2-prettytable 0.7.2-1
mingw64 mingw-w64-x86_64-python2-progress 1.3-1
mingw64 mingw-w64-x86_64-python2-prompt_toolkit 1.0.14-1
mingw64 mingw-w64-x86_64-python2-psutil 5.2.2-1
mingw64 mingw-w64-x86_64-python2-ptyprocess 0.5.2-1
mingw64 mingw-w64-x86_64-python2-py 1.5.3-1
mingw64 mingw-w64-x86_64-python2-pyamg 3.3.2-1
mingw64 mingw-w64-x86_64-python2-pyasn1 0.4.2-1
mingw64 mingw-w64-x86_64-python2-pyasn1-modules 0.2.1-1
mingw64 mingw-w64-x86_64-python2-pycparser 2.18-1
mingw64 mingw-w64-x86_64-python2-pyflakes 2.0.0-1
mingw64 mingw-w64-x86_64-python2-pygments 2.2.0-2
mingw64 mingw-w64-x86_64-python2-pygtk 2.24.0-6
mingw64 mingw-w64-x86_64-python2-pyopenssl 18.0.0-1
mingw64 mingw-w64-x86_64-python2-pyparsing 2.2.0-2
mingw64 mingw-w64-x86_64-python2-pyqt4 4.11.4-2
mingw64 mingw-w64-x86_64-python2-pyqt5 5.10.1-1
mingw64 mingw-w64-x86_64-python2-pyside-qt4 1.2.2-3
mingw64 mingw-w64-x86_64-python2-pyside-tools-qt4 1.2.2-3
mingw64 mingw-w64-x86_64-python2-pystemmer 1.3.0-1
mingw64 mingw-w64-x86_64-python2-pytest 3.5.1-2
mingw64 mingw-w64-x86_64-python2-pytest-runner 4.2-1
mingw64 mingw-w64-x86_64-python2-pytz 2018.4-1
mingw64 mingw-w64-x86_64-python2-pywavelets 0.5.2-1
mingw64 mingw-w64-x86_64-python2-pyzmq 17.0.0-1
mingw64 mingw-w64-x86_64-python2-qscintilla 2.10.4-1
mingw64 mingw-w64-x86_64-python2-qtconsole 4.3.0-1
mingw64 mingw-w64-x86_64-python2-reportlab 3.4.0-1
mingw64 mingw-w64-x86_64-python2-requests 2.18.4-2
mingw64 mingw-w64-x86_64-python2-rst2pdf 0.93-3
mingw64 mingw-w64-x86_64-python2-scandir 1.5-1
mingw64 mingw-w64-x86_64-python2-scikit-learn 0.19.1-1
mingw64 mingw-w64-x86_64-python2-scipy 1.1.0-1
mingw64 mingw-w64-x86_64-python2-send2trash 1.5.0-1
mingw64 mingw-w64-x86_64-python2-setuptools 39.2.0-1
mingw64 mingw-w64-x86_64-python2-setuptools-scm 2.1.0-1
mingw64 mingw-w64-x86_64-python2-shiboken-qt4 1.2.2-3
mingw64 mingw-w64-x86_64-python2-simplegeneric 0.8.1-2
mingw64 mingw-w64-x86_64-python2-sip 4.19.8-1
mingw64 mingw-w64-x86_64-python2-six 1.11.0-1
mingw64 mingw-w64-x86_64-python2-snowballstemmer 1.2.1-2
mingw64 mingw-w64-x86_64-python2-sphinx 1.7.4-1
mingw64 mingw-w64-x86_64-python2-sphinx-alabaster-theme 0.7.10-1
mingw64 mingw-w64-x86_64-python2-sphinx_rtd_theme 0.2.5b1-1
mingw64 mingw-w64-x86_64-python2-sphinxcontrib-websupport 1.0.1-1
mingw64 mingw-w64-x86_64-python2-sqlalchemy 1.2.7-1
mingw64 mingw-w64-x86_64-python2-sqlitedict 1.5.0-1
mingw64 mingw-w64-x86_64-python2-statsmodels 0.8.0-1
mingw64 mingw-w64-x86_64-python2-terminado 0.8.1-1
mingw64 mingw-w64-x86_64-python2-tornado 4.5.3-1
mingw64 mingw-w64-x86_64-python2-tox 3.0.0-1
mingw64 mingw-w64-x86_64-python2-traitlets 4.3.2-2
mingw64 mingw-w64-x86_64-python2-typing 3.6.1-1
mingw64 mingw-w64-x86_64-python2-unicorn 1.0.1-2
mingw64 mingw-w64-x86_64-python2-urllib3 1.22-2
mingw64 mingw-w64-x86_64-python2-virtualenv 15.1.0-2
mingw64 mingw-w64-x86_64-python2-wcwidth 0.1.7-2
mingw64 mingw-w64-x86_64-python2-webencodings 0.5.1-2
mingw64 mingw-w64-x86_64-python2-wheel 0.31.0-2
mingw64 mingw-w64-x86_64-python2-whoosh 2.7.4-1
mingw64 mingw-w64-x86_64-python2-win_unicode_console 0.5-2
mingw64 mingw-w64-x86_64-python2-wrapt 1.10.11-2
